,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
329,San Andres,CO,12.5847,-81.7006,86.02,70,75,13.8,broken clouds
330,Sao Felix Do Xingu,BR,-6.6447,-51.995,88.66,48,92,6.46,overcast clouds
331,Lompoc,US,34.6391,-120.4579,61.84,81,20,11.01,mist
332,Tiarei,PF,-17.5333,-149.3333,77.0,73,58,20.2,broken clouds
333,Mao,ES,39.8885,4.2658,64.96,59,0,8.05,clear sky
334,Irtyshskiy,RU,58.3333,68.1333,46.87,76,26,7.63,scattered clouds
335,Boyuibe,BO,-20.4167,-63.2833,88.47,45,35,12.5,scattered clouds
336,Ust-Omchug,RU,61.15,149.6333,13.75,95,100,5.95,overcast clouds
337,Aboisso,CI,5.4678,-3.2071,86.29,67,88,8.21,light rain
338,Riviere-Au-Renard,CA,48.9957,-64.3971,42.31,91,100,10.31,overcast clouds
339,Rio Grande,BR,-32.035,-52.0986,82.51,83,99,11.65,overcast clouds
340,Kamenka,RU,51.3223,42.7678,66.0,62,34,7.18,scattered clouds
341,Mwinilunga,ZM,-11.7358,24.4293,68.13,72,91,4.43,overcast clouds
342,Hambantota,LK,6.1241,81.1185,81.73,79,21,2.13,few clouds
343,Banjar,ID,-8.19,114.9675,77.4,85,82,2.91,broken clouds
344,Roura,GF,4.7263,-52.3274,87.71,66,20,12.66,few clouds
345,Brae,GB,60.3964,-1.353,45.05,55,25,14.23,scattered clouds
346,Te Anau,NZ,-45.4167,167.7167,44.96,88,40,1.03,scattered clouds
