City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
185,Kruisfontein,ZA,2022-04-20 19:52:11,-34.0033,24.7314,66.88,38,88,3.24
186,Eyl,SO,2022-04-20 19:53:12,7.9803,49.8164,81.32,69,14,11.23
187,Ribeira Grande,PT,2022-04-20 19:50:54,38.5167,-28.7,63.0,63,75,3.44
188,Luderitz,NA,2022-04-20 19:53:13,-26.6481,15.1594,71.11,43,2,6.13
189,Rawson,AR,2022-04-20 19:45:31,-43.3002,-65.1023,63.14,29,100,14.85
190,Mana,GF,2022-04-20 19:53:13,5.6592,-53.7767,78.55,86,100,10.13
191,Avarua,CK,2022-04-20 19:53:14,-21.2078,-159.775,77.05,73,75,10.36
192,Chegdomyn,RU,2022-04-20 19:53:14,51.1167,133.0167,35.49,98,100,2.06
193,Dikson,RU,2022-04-20 19:53:14,73.5069,80.5464,-1.05,100,91,8.95
194,Lagoa,PT,2022-04-20 19:53:15,39.05,-27.9833,59.04,64,9,6.35
195,Lorengau,PG,2022-04-20 19:53:15,-2.0226,147.2712,82.15,73,68,11.12
196,Butaritari,KI,2022-04-20 19:53:16,3.0707,172.7902,80.74,81,85,14.79
197,Araouane,ML,2022-04-20 19:53:16,18.9048,-3.5265,83.41,7,43,5.21
198,Hope,US,2022-04-20 19:53:17,33.6671,-93.5916,68.99,90,100,14.65
199,Kangaatsiaq,GL,2022-04-20 19:53:17,68.3065,-53.4641,7.99,77,7,12.41
200,Tupik,RU,2022-04-20 19:53:18,54.4253,119.9327,17.29,92,37,2.55
201,Lavrentiya,RU,2022-04-20 19:53:18,65.5833,-171.0,19.72,79,2,2.37
202,Sayhat,SA,2022-04-20 19:53:19,26.4852,50.0405,79.02,41,89,10.98
203,Tessalit,ML,2022-04-20 19:53:19,20.1986,1.0114,86.0,6,32,8.88
204,Nantucket,US,2022-04-20 19:50:29,41.2835,-70.0995,57.34,52,0,20.71
